English,standard bangla,romanized bangla,chakma,romanized chakma
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,She ki tomake boleche ki korte hobe?,তে হি তরে হুয়ি গুড়িবার?,Te hi tore huyi guribar?
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,Apni ki nijer theke eta korechen?,তুই হি নিজোট্টুন ইয়ান গুচ্ছোজ?,Tui hi nijottun iyan gucchoj?
Did you do your homework?,আপনি কি আপনার বাড়ির কাজ করেছেন?,Apni ki apnar barir kaaj korechen?,তুই হি তোর গরে হাম আন গুচ্ছোস?,Tui hi tor gore haam aan gucchos?
Did you drive him home last night?,তুমি কি গতকাল রাতে তাকে বাড়ি ড্রাইভ করেছিলে?,Tumi ki gotokal rate take bari drive korechile?,তুই হি তারে গত রেদট গাড়ি ড্রাইভ গুচ্ছোস ই,Tui hi tare goto redot gari drive gucchos i?
Did you understand me?,তুমি কি আমার কথা বুঝতে পেরেছ?,Tumi ki amar kotha bujhte perecho?,তুই হি মো হদা আন বুচ্ছোস?,Tui hi mo hoda aan bucchos?
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,Tumi ki sinema-ti pochondo korecho?,তুই হি সিনেমা আন দোল পিয়োছ?,Tui hi cinema aan dol piyoch?
Do you live here?,তুমি কি এখানে থাকো?,Tumi ki ekhane thako?,তুই হি ইয়োট ঠাস?,Tui hi iyot thas?
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,Tumi ki eta nije baniyecho?,তুই হি ইয়ান নিজে বানিয়োচ?,Tui hi iyan nije baniyoch?
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,Tumi ki amake onubhob korcho?,তুই হি মরে অনুভব গুচ্ছস?,Tui hi more onubhob gucchos?
Did you see anyone there?,আপনি সেখানে কাউকে দেখেছেন?,Apni shekhane kauke dekhechen?,তুই হি সিউট হাওরে দিক্কোস?,Tui hi siut haore dikkos?
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,Apni ki adou kotha bolechen?,তুই হি আসলে হুয়োচ?,Tui hi asole huyoch?
Did you study yourself?,তুমি কি নিজে অধ্যয়ন করেছ?,Tumi ki nije oddhoyon korecho?,তুই হি নিজে পুজোস?,Tui hi nije pujos?
Did you take a shower?,তুমি কি গোসল করেছ?,Tumi ki gosol korecho?,তুই হি গাট্টোস?,Tui hi gattos?
Have a good time.,একটি ভাল সময় আছে,Ekti bhalo shomoy ache,ইজ্ঞু গম সময় আগে,Igne gom somoy aage
Have a nice day.,আপনার দিনটি শুভ হোক,Apnar din-ti shubho hok,তর দিনান দোল ওক,Tor dinan dol ok
Have a nice time.,একটি সুন্দর সময় আছে,Ekti shundor shomoy ache,ইজ্ঞু দোল সময় আগে,Igne dol somoy aage
Have a nice trip.,আপনার যাত্রা শুভ হোক,Apnar jatra shubho hok,ত যাত্রা আন দোল ওক,To jatra aan dol ok
Have a wonderful vacation.,একটা চমৎকার অবকাশ যাপন করো,Ekta chomotkar obokash japon koro,ইজ্ঞু চমৎকার ভাব যাগন গড়,Igne chomotkar bhab jagon gor
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,Ei grishshe moja korun!,এই গ্রীষ্মট মজা গড়,Ei grishshot moja gor
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,Apni ki kokhono ekti timi dekhechen?,তুই হি হন্দিন তিমি দিক্কোস?,Tui hi hondin timi dikkos?
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,Tumi ki dressing shesh korecho?,তুই হি ড্রেসিং শেষ গুচ্ছোস?,Tui hi dressing shesh gucchos?
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,Tar poramorsho shahajjo koreni,তা পরামর্শ আন সাহায্য নগড়ে,Ta poramorsho aan sahajjo nogore
His brother is patient.,তার ভাই ধৈর্যশীল,Tar bhai dhoirjosheel,তা বেইবু ধইর্যো আগে,Ta beibu dhoirjyo aage
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,Tar shopno shotti hoyeche,তা স্বপ্ন আন সত্য উয়ি,Ta shopno aan shotto uyi
His family is very big.,তার পরিবার অনেক বড়,Tar poribar onek boro,তা পরিবার আন বেজ দাঙর,Ta poribar aan bej daangor
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,Tar baba shustho dekhacche,তা বা রে সুস্থ দেগার,Ta ba re sustho degar
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,Tar ghora berar upor lafiye uthlo,তা ঘোড়া আন বেড়া উরি লাফ দি,Ta ghora aan bera uri laaf di
His house is very tall.,তার বাড়ি অনেক লম্বা,Tar bari onek lomba,তা ঘর আন বেজ লাম্বা,Ta ghor aan bej lamba
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,Tar anondo tar mukhe fute utheche,তা আনন্দ আন তা মুগোট ফুদি উঠি,Ta anondo aan ta mugot phudi uthi
His mother was strict.,তার মা কঠোর ছিল,Tar ma kothor chilo,তাম্মা কঠোর এল,Tamma kothor el
His new movie is disappointing.,তার নতুন সিনেমা হতাশাজনক,Tar notun cinema hotashajonok,তা নুয়ো সিনেমা আন হতাশজনক,Ta nuo cinema aan hotashajonok
His new novel is worth reading.,তার নতুন উপন্যাস পড়ার যোগ্য,Tar notun uponnash porar joggo,তা নুয়ো উপন্যাস পুড়িবার যোগ্য,Ta nuo uponnash puribar joggo
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,Tar motamot grohon kora hoyni,তা মতামত লনা নয়ই,Ta motamot lona noyei
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,Shobhay tar prostab grihito hoy,সভা আনত তা প্রস্তাব আন লো অয়,Sobha aanto ta prostab aan lo oy
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,Tar room amar cheye digun boro,তা রুম্মান মত্তুন দ্বিগুন দাঙর আগে,Ta rumman mottun digun daangor aage
His shoes are red.,তার জুতা লাল,Tar juta lal,তা জুতা আন রাঙা,Ta juta aan ranga
His wife is Indian.,তার স্ত্রী ভারতীয়,Tar stri bharotiyo,তা মক্কু ভারতীয়,Ta mokku bharotiyo
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,Tar stri amar bondhuder ekjon,তা মক্কু মো সমাজ্জির একজন,Ta mokku mo somajjir ekjon
His voice was soft.,তার কণ্ঠ নরম ছিল,Tar kontho norom chilo,তা হন্ঠ আন নরম এল,Ta hontho aan norom el
His face was still young.,তার মুখ তখনও তরুণ,Tar mukh tokhono torun,তা মু আন গাবুর,Ta mu aan gabur
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,Tar drishti amar dike chilo,তা চোখকান মো ইদু এল,Ta chokkan mo idu el
His smile was funny.,তার হাসি হাস্যকর ছিল,Tar hashi hashshokor chilo,তা আজি আন আজিবার এল,Ta aaji aan aajibar el
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,Tar hashi khub shundor chilo,তা আজি অনেক দোল এল,Ta aaji onek dol el
His voice was calm.,তার কণ্ঠ শান্ত ছিল,Tar kontho shanto chilo,তা কন্ঠ আন শান্ত এল,Ta kontho aan shanto el
I am really grateful.,আমি সত্যিই কৃতজ্ঞ,Ami shottyi kritoggo,মুই আসলেই কৃতজ্ঞ,Mui asholei kritoggo
I am a vegetarian.,আমি একজন নিরামিষভোজী,Ami ekjon niramishbhoji,মুই ইজ্ঞু শাকাহারি,Mui igne shakahari
